,court_surface,year,player_name,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,second_serve_points_made,second_serve_points_attempted,break_points_saved,break_points_against,first_serve_return_points_made,first_serve_return_points_attempted,second_serve_return_points_made,second_serve_return_points_attempted,break_points_made,break_points_attempted,service_points_won,service_points_attempted,return_points_won,return_points_attempted,total_points_won,total_points,player_victory,retirement,won_first_set,doubles,masters,round_num
857,Hard,2017,P. Kohlschreiber,N. Basilashvili,australian-open,Round of 128,4.0,3.0,22.0,20.0,1.0,1.0,12.0,4.0,66.0,114.0,51.0,66.0,28.0,48.0,4.0,7.0,31.0,94.0,21.0,43.0,4.0,7.0,79.0,114.0,52.0,137.0,131.0,251.0,t,f,t,f,2000,1
858,Hard,2017,Q. Halys,S. Querrey,australian-open,Round of 128,4.0,1.0,20.0,25.0,1.0,2.0,24.0,9.0,88.0,151.0,65.0,88.0,34.0,63.0,11.0,16.0,9.0,81.0,29.0,52.0,3.0,6.0,99.0,151.0,38.0,133.0,137.0,284.0,f,f,t,f,2000,1
859,Hard,2017,R. Stepanek,B. Kavcic,australian-open,2nd Round Qualifying,3.0,2.0,20.0,16.0,0.0,1.0,8.0,13.0,63.0,114.0,43.0,63.0,28.0,51.0,0.0,3.0,23.0,71.0,20.0,33.0,5.0,9.0,71.0,114.0,43.0,104.0,114.0,218.0,t,f,t,f,2000,-1
860,Hard,2017,R. Stepanek,D. Goffin,australian-open,Round of 64,3.0,0.0,7.0,18.0,0.0,0.0,3.0,9.0,46.0,79.0,27.0,46.0,12.0,33.0,6.0,13.0,12.0,44.0,13.0,36.0,1.0,5.0,39.0,79.0,25.0,80.0,64.0,159.0,f,f,f,f,2000,2
861,Hard,2017,R. Stepanek,D. Tursunov,australian-open,Round of 128,3.0,3.0,19.0,11.0,1.0,1.0,15.0,4.0,65.0,99.0,52.0,65.0,20.0,34.0,4.0,4.0,19.0,58.0,16.0,29.0,3.0,8.0,72.0,99.0,35.0,87.0,107.0,186.0,t,f,t,f,2000,1
862,Hard,2017,R. Stepanek,J. Smith,australian-open,3rd Round Qualifying,2.0,2.0,12.0,6.0,0.0,0.0,3.0,4.0,48.0,71.0,31.0,48.0,13.0,23.0,6.0,7.0,14.0,35.0,7.0,14.0,4.0,9.0,44.0,71.0,21.0,49.0,65.0,120.0,t,f,t,f,2000,0
863,Hard,2017,R. Stepanek,S. Bangoura,australian-open,1st Round Qualifying,3.0,2.0,18.0,12.0,0.0,1.0,2.0,6.0,60.0,98.0,41.0,60.0,18.0,38.0,3.0,7.0,28.0,63.0,13.0,27.0,7.0,11.0,59.0,98.0,41.0,90.0,100.0,188.0,t,f,t,f,2000,-2
864,Hard,2017,R. Nadal,A. Zverev,australian-open,Round of 32,5.0,3.0,28.0,21.0,0.0,1.0,11.0,4.0,113.0,150.0,82.0,113.0,23.0,37.0,5.0,7.0,31.0,108.0,37.0,64.0,5.0,16.0,105.0,150.0,68.0,172.0,173.0,322.0,t,f,f,f,2000,3
865,Hard,2017,R. Nadal,F. Mayer,australian-open,Round of 128,3.0,3.0,18.0,11.0,0.0,0.0,6.0,0.0,53.0,76.0,41.0,53.0,19.0,23.0,0.0,0.0,25.0,66.0,14.0,36.0,3.0,12.0,60.0,76.0,39.0,102.0,99.0,178.0,t,f,t,f,2000,1
866,Hard,2017,R. Nadal,G. Monfils,australian-open,Round of 16,4.0,3.0,22.0,16.0,0.0,0.0,2.0,1.0,74.0,101.0,53.0,74.0,17.0,27.0,3.0,6.0,26.0,75.0,30.0,55.0,6.0,17.0,70.0,101.0,56.0,130.0,126.0,231.0,t,f,t,f,2000,4
867,Hard,2017,R. Nadal,G. Dimitrov,australian-open,Semi-Finals,5.0,3.0,30.0,27.0,1.0,2.0,8.0,3.0,136.0,184.0,94.0,136.0,26.0,48.0,12.0,16.0,37.0,124.0,29.0,57.0,5.0,13.0,120.0,184.0,66.0,181.0,186.0,365.0,t,f,t,f,2000,6
868,Hard,2017,R. Nadal,M. Baghdatis,australian-open,Round of 64,3.0,3.0,18.0,7.0,0.0,0.0,5.0,0.0,64.0,80.0,46.0,64.0,10.0,16.0,4.0,5.0,20.0,53.0,29.0,45.0,6.0,16.0,56.0,80.0,49.0,98.0,105.0,178.0,t,f,t,f,2000,2
869,Hard,2017,R. Nadal,M. Raonic,australian-open,Quarter-Finals,3.0,3.0,19.0,14.0,1.0,1.0,5.0,4.0,76.0,105.0,63.0,76.0,15.0,29.0,4.0,4.0,23.0,71.0,16.0,36.0,2.0,3.0,78.0,105.0,39.0,107.0,117.0,212.0,t,f,t,f,2000,5
870,Hard,2017,R. Nadal,R. Federer,australian-open,Finals,5.0,2.0,20.0,24.0,0.0,0.0,4.0,3.0,110.0,151.0,69.0,110.0,23.0,41.0,14.0,20.0,20.0,85.0,27.0,53.0,4.0,17.0,92.0,151.0,47.0,138.0,139.0,289.0,f,f,f,f,2000,7
871,Hard,2017,R. Ram,I. Ivashka,australian-open,1st Round Qualifying,2.0,2.0,12.0,8.0,0.0,0.0,1.0,2.0,45.0,76.0,32.0,45.0,16.0,31.0,6.0,7.0,13.0,38.0,12.0,24.0,3.0,3.0,48.0,76.0,25.0,62.0,73.0,138.0,t,f,t,f,2000,-2
872,Hard,2017,R. Ram,J. Melzer,australian-open,3rd Round Qualifying,3.0,1.0,11.0,15.0,0.0,0.0,6.0,2.0,57.0,84.0,36.0,57.0,14.0,27.0,2.0,5.0,18.0,61.0,9.0,20.0,1.0,6.0,50.0,84.0,27.0,81.0,77.0,165.0,f,f,f,f,2000,0
873,Hard,2017,R. Ram,M. Arevalo,australian-open,2nd Round Qualifying,3.0,2.0,18.0,13.0,0.0,0.0,10.0,0.0,53.0,77.0,46.0,53.0,11.0,24.0,2.0,3.0,25.0,68.0,20.0,42.0,4.0,13.0,57.0,77.0,45.0,110.0,102.0,187.0,t,f,t,f,2000,-1
874,Hard,2017,R. Opelka,D. Goffin,australian-open,Round of 128,5.0,2.0,22.0,26.0,0.0,0.0,21.0,7.0,85.0,144.0,64.0,85.0,28.0,59.0,2.0,6.0,17.0,76.0,27.0,70.0,2.0,7.0,92.0,144.0,44.0,146.0,136.0,290.0,f,f,f,f,2000,1
875,Hard,2017,R. Gasquet,B. Mott,australian-open,Round of 128,3.0,3.0,18.0,10.0,0.0,0.0,2.0,1.0,52.0,82.0,38.0,52.0,20.0,30.0,0.0,1.0,18.0,49.0,14.0,29.0,5.0,8.0,58.0,82.0,32.0,78.0,90.0,160.0,t,f,t,f,2000,1
876,Hard,2017,R. Gasquet,C. Berlocq,australian-open,Round of 64,3.0,3.0,18.0,3.0,0.0,0.0,2.0,5.0,39.0,71.0,29.0,39.0,21.0,32.0,2.0,2.0,18.0,38.0,23.0,34.0,7.0,13.0,50.0,71.0,41.0,72.0,91.0,143.0,t,f,t,f,2000,2
877,Hard,2017,R. Gasquet,G. Dimitrov,australian-open,Round of 32,3.0,0.0,9.0,18.0,0.0,0.0,3.0,4.0,49.0,82.0,28.0,49.0,16.0,33.0,4.0,9.0,13.0,70.0,16.0,25.0,1.0,7.0,44.0,82.0,29.0,95.0,73.0,177.0,f,f,f,f,2000,3
878,Hard,2017,R. Bautista Agut,D. Ferrer,australian-open,Round of 32,4.0,3.0,26.0,22.0,1.0,2.0,5.0,5.0,106.0,182.0,70.0,106.0,40.0,76.0,15.0,20.0,30.0,82.0,32.0,69.0,7.0,14.0,110.0,182.0,62.0,151.0,172.0,333.0,t,f,t,f,2000,3
879,Hard,2017,R. Bautista Agut,G. Pella,australian-open,Round of 128,3.0,3.0,18.0,5.0,0.0,0.0,7.0,1.0,38.0,60.0,37.0,38.0,12.0,22.0,1.0,1.0,17.0,40.0,19.0,27.0,6.0,12.0,49.0,60.0,36.0,67.0,85.0,127.0,t,f,t,f,2000,1
880,Hard,2017,R. Bautista Agut,M. Raonic,australian-open,Round of 16,4.0,1.0,17.0,22.0,0.0,1.0,9.0,4.0,88.0,127.0,56.0,88.0,21.0,39.0,11.0,16.0,14.0,74.0,21.0,39.0,3.0,10.0,77.0,127.0,35.0,113.0,112.0,240.0,f,f,f,f,2000,4
881,Hard,2017,R. Bautista Agut,Y. Nishioka,australian-open,Round of 64,3.0,3.0,18.0,8.0,0.0,0.0,9.0,1.0,62.0,77.0,40.0,62.0,7.0,15.0,6.0,10.0,37.0,72.0,27.0,46.0,9.0,21.0,47.0,77.0,64.0,118.0,111.0,195.0,t,f,t,f,2000,2
882,Hard,2017,R. Carballes Baena,M. Matosevic,australian-open,1st Round Qualifying,2.0,2.0,12.0,6.0,0.0,0.0,6.0,3.0,45.0,63.0,32.0,45.0,11.0,18.0,4.0,4.0,10.0,37.0,19.0,27.0,3.0,9.0,43.0,63.0,29.0,64.0,72.0,127.0,t,f,t,f,2000,-2
883,Hard,2017,R. Carballes Baena,N. Rubin,australian-open,2nd Round Qualifying,3.0,1.0,12.0,15.0,0.0,0.0,2.0,5.0,37.0,78.0,23.0,37.0,13.0,41.0,2.0,10.0,19.0,51.0,30.0,44.0,7.0,14.0,36.0,78.0,49.0,95.0,85.0,173.0,f,f,f,f,2000,-1
884,Hard,2017,R. Federer,J. Melzer,australian-open,Round of 128,4.0,3.0,22.0,15.0,0.0,0.0,19.0,1.0,66.0,103.0,51.0,66.0,20.0,37.0,1.0,4.0,36.0,83.0,13.0,28.0,7.0,9.0,71.0,103.0,49.0,111.0,120.0,214.0,t,f,t,f,2000,1
885,Hard,2017,R. Federer,K. Nishikori,australian-open,Round of 16,5.0,3.0,28.0,21.0,0.0,1.0,24.0,6.0,98.0,146.0,79.0,98.0,23.0,48.0,6.0,9.0,34.0,107.0,33.0,57.0,7.0,18.0,102.0,146.0,67.0,164.0,169.0,310.0,t,f,f,f,2000,4
886,Hard,2017,R. Federer,M. Zverev,australian-open,Quarter-Finals,3.0,3.0,19.0,8.0,0.0,0.0,9.0,1.0,55.0,79.0,38.0,55.0,16.0,24.0,1.0,2.0,34.0,72.0,12.0,25.0,6.0,15.0,54.0,79.0,46.0,97.0,100.0,176.0,t,f,t,f,2000,5
887,Hard,2017,R. Federer,N. Rubin,australian-open,Round of 64,3.0,3.0,20.0,14.0,1.0,1.0,18.0,2.0,67.0,112.0,54.0,67.0,25.0,45.0,5.0,6.0,22.0,58.0,17.0,44.0,3.0,8.0,79.0,112.0,39.0,102.0,118.0,214.0,t,f,t,f,2000,2
888,Hard,2017,R. Federer,R. Nadal,australian-open,Finals,5.0,3.0,24.0,20.0,0.0,0.0,20.0,3.0,85.0,138.0,65.0,85.0,26.0,53.0,13.0,17.0,41.0,110.0,18.0,41.0,6.0,20.0,91.0,138.0,59.0,151.0,150.0,289.0,t,f,t,f,2000,7
889,Hard,2017,R. Federer,S. Wawrinka,australian-open,Semi-Finals,5.0,3.0,24.0,23.0,0.0,0.0,11.0,3.0,86.0,143.0,62.0,86.0,33.0,57.0,8.0,12.0,33.0,89.0,14.0,46.0,4.0,9.0,95.0,143.0,47.0,135.0,142.0,278.0,t,f,t,f,2000,6
890,Hard,2017,R. Federer,T. Berdych,australian-open,Round of 32,3.0,3.0,18.0,10.0,0.0,0.0,8.0,2.0,41.0,70.0,39.0,41.0,17.0,29.0,0.0,0.0,9.0,52.0,20.0,29.0,4.0,5.0,56.0,70.0,29.0,81.0,85.0,151.0,t,f,t,f,2000,3
891,Hard,2017,S. Groth,S. Darcis,australian-open,Round of 128,4.0,1.0,13.0,21.0,0.0,0.0,19.0,8.0,63.0,115.0,44.0,63.0,24.0,52.0,5.0,10.0,10.0,58.0,15.0,33.0,1.0,2.0,68.0,115.0,25.0,91.0,93.0,206.0,f,f,t,f,2000,1
892,Hard,2017,S. Querrey,A. de Minaur,australian-open,Round of 64,3.0,3.0,19.0,7.0,1.0,1.0,9.0,9.0,46.0,89.0,43.0,46.0,21.0,43.0,3.0,3.0,24.0,68.0,24.0,32.0,5.0,13.0,64.0,89.0,48.0,100.0,112.0,189.0,t,f,t,f,2000,2
893,Hard,2017,S. Querrey,A. Murray,australian-open,Round of 32,3.0,0.0,10.0,18.0,0.0,0.0,5.0,2.0,52.0,87.0,29.0,52.0,19.0,35.0,3.0,8.0,13.0,56.0,15.0,30.0,1.0,3.0,48.0,87.0,28.0,86.0,76.0,173.0,f,f,f,f,2000,3
894,Hard,2017,S. Querrey,Q. Halys,australian-open,Round of 128,4.0,3.0,25.0,20.0,1.0,2.0,31.0,10.0,81.0,133.0,72.0,81.0,23.0,52.0,3.0,6.0,23.0,88.0,29.0,63.0,5.0,16.0,95.0,133.0,52.0,151.0,147.0,284.0,t,f,f,f,2000,1
895,Hard,2017,S. Jones,M. Arevalo,australian-open,1st Round Qualifying,2.0,0.0,4.0,12.0,0.0,0.0,1.0,2.0,32.0,58.0,17.0,32.0,11.0,26.0,3.0,7.0,2.0,18.0,0.0,16.0,0.0,0.0,28.0,58.0,2.0,34.0,30.0,92.0,f,f,f,f,2000,-2
896,Hard,2017,S. Wawrinka,A. Seppi,australian-open,Round of 16,3.0,3.0,21.0,18.0,3.0,3.0,17.0,2.0,68.0,117.0,55.0,68.0,32.0,49.0,2.0,4.0,22.0,85.0,26.0,51.0,2.0,9.0,87.0,117.0,48.0,136.0,135.0,253.0,t,f,t,f,2000,4
897,Hard,2017,S. Wawrinka,J. Tsonga,australian-open,Quarter-Finals,3.0,3.0,19.0,13.0,1.0,1.0,4.0,2.0,58.0,107.0,41.0,58.0,32.0,49.0,5.0,6.0,12.0,46.0,23.0,40.0,3.0,3.0,73.0,107.0,35.0,86.0,108.0,193.0,t,f,t,f,2000,5
898,Hard,2017,S. Wawrinka,M. Klizan,australian-open,Round of 128,5.0,3.0,27.0,25.0,0.0,0.0,21.0,6.0,102.0,160.0,78.0,102.0,27.0,58.0,11.0,16.0,43.0,120.0,13.0,37.0,6.0,16.0,105.0,160.0,56.0,157.0,161.0,317.0,t,f,f,f,2000,1
899,Hard,2017,S. Wawrinka,R. Federer,australian-open,Semi-Finals,5.0,2.0,23.0,24.0,0.0,0.0,10.0,2.0,89.0,135.0,56.0,89.0,32.0,46.0,5.0,9.0,24.0,86.0,24.0,57.0,4.0,12.0,88.0,135.0,48.0,143.0,136.0,278.0,f,f,f,f,2000,6
900,Hard,2017,S. Wawrinka,S. Johnson,australian-open,Round of 64,3.0,3.0,18.0,11.0,0.0,0.0,12.0,4.0,55.0,88.0,47.0,55.0,19.0,33.0,5.0,5.0,23.0,67.0,12.0,26.0,3.0,11.0,66.0,88.0,35.0,93.0,101.0,181.0,t,f,t,f,2000,2
901,Hard,2017,S. Wawrinka,V. Troicki,australian-open,Round of 32,4.0,3.0,22.0,16.0,1.0,1.0,16.0,4.0,71.0,117.0,52.0,71.0,24.0,46.0,4.0,9.0,22.0,70.0,32.0,52.0,7.0,13.0,76.0,117.0,54.0,122.0,130.0,239.0,t,f,f,f,2000,3
902,Hard,2017,S. Kozlov,Y. Bhambri,australian-open,1st Round Qualifying,2.0,0.0,5.0,12.0,0.0,0.0,1.0,3.0,47.0,64.0,24.0,47.0,5.0,17.0,8.0,14.0,9.0,33.0,11.0,19.0,2.0,4.0,29.0,64.0,20.0,52.0,49.0,116.0,f,f,f,f,2000,-2
903,Hard,2017,T. Daniel,A. Setkic,australian-open,1st Round Qualifying,2.0,2.0,13.0,9.0,0.0,0.0,4.0,2.0,49.0,76.0,29.0,49.0,15.0,27.0,9.0,13.0,18.0,37.0,13.0,27.0,6.0,10.0,44.0,76.0,31.0,64.0,75.0,140.0,t,f,t,f,2000,-2
904,Hard,2017,T. Daniel,J. Melzer,australian-open,2nd Round Qualifying,2.0,0.0,5.0,12.0,0.0,0.0,3.0,3.0,36.0,57.0,21.0,36.0,7.0,21.0,2.0,7.0,8.0,32.0,9.0,16.0,1.0,3.0,28.0,57.0,17.0,48.0,45.0,105.0,f,f,f,f,2000,-1
905,Hard,2017,T. Gabashvili,C. Ruud,australian-open,1st Round Qualifying,2.0,0.0,8.0,12.0,0.0,0.0,3.0,5.0,36.0,59.0,24.0,36.0,6.0,23.0,3.0,8.0,16.0,43.0,11.0,21.0,3.0,4.0,30.0,59.0,27.0,64.0,57.0,123.0,f,f,f,f,2000,-2
906,Hard,2017,T. Fabbiano,A. Santillan,australian-open,2nd Round Qualifying,3.0,2.0,16.0,12.0,0.0,0.0,3.0,7.0,54.0,96.0,41.0,54.0,18.0,42.0,9.0,12.0,16.0,46.0,15.0,32.0,5.0,10.0,59.0,96.0,31.0,78.0,90.0,174.0,t,f,f,f,2000,-1
907,Hard,2017,T. Fabbiano,A. Ghem,australian-open,3rd Round Qualifying,2.0,2.0,13.0,10.0,1.0,1.0,3.0,6.0,41.0,72.0,31.0,41.0,14.0,31.0,4.0,7.0,18.0,48.0,17.0,33.0,4.0,10.0,45.0,72.0,35.0,81.0,80.0,153.0,t,f,t,f,2000,0
908,Hard,2017,T. Fabbiano,B. Klahn,australian-open,1st Round Qualifying,3.0,2.0,18.0,14.0,0.0,1.0,4.0,5.0,54.0,95.0,44.0,54.0,22.0,41.0,2.0,3.0,13.0,56.0,26.0,46.0,3.0,5.0,66.0,95.0,39.0,102.0,105.0,197.0,t,f,t,f,2000,-2
909,Hard,2017,T. Fabbiano,D. Young,australian-open,Round of 128,3.0,0.0,14.0,19.0,0.0,1.0,1.0,5.0,65.0,114.0,35.0,65.0,27.0,49.0,7.0,13.0,19.0,67.0,28.0,51.0,4.0,14.0,62.0,114.0,47.0,118.0,109.0,232.0,f,f,f,f,2000,1
